# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.035578827227e-01       7.835933961336e+02 
       3.068315408834e-01       7.682882919763e+02 
       3.101051997991e-01       7.540857761076e+02 
       3.133788594461e-01       7.407556521041e+02 
       3.166525198016e-01       7.280517131657e+02 
       3.199261808437e-01       7.157368966385e+02 
       3.231998425515e-01       7.035904443176e+02 
       3.264735049048e-01       6.914297247245e+02 
       3.297471678843e-01       6.791219212893e+02 
       3.330208314714e-01       6.666050248164e+02 
       3.362944956484e-01       6.538784802379e+02 
       3.395681603981e-01       6.410050534589e+02 
       3.428418257039e-01       6.280836486417e+02 
       3.461154915501e-01       6.152321974202e+02 
       3.493891579214e-01       6.025708434064e+02 
       3.526628248031e-01       5.902081718380e+02 
       3.559364921810e-01       5.782427925339e+02 
       3.592101600416e-01       5.667524205691e+02 
       3.624838283716e-01       5.557929426245e+02 
       3.657574971585e-01       5.453969534365e+02 
       3.690311663899e-01       5.355638965091e+02 
       3.723048360542e-01       5.262615854594e+02 
       3.755785061399e-01       5.174275613246e+02 
       3.788521766362e-01       5.089786715509e+02 
       3.821258475323e-01       5.008283785740e+02 
       3.853995188181e-01       4.928926485305e+02 
       3.886731904837e-01       4.851041194633e+02 
       3.919468625195e-01       4.774128334321e+02 
       3.952205349162e-01       4.697838827674e+02 
       3.984942076650e-01       4.621946144702e+02 
       4.017678807573e-01       4.546356228721e+02 
       4.050415541845e-01       4.471066141850e+02 
       4.083152279387e-01       4.396205313161e+02 
       4.115889020121e-01       4.321990160933e+02 
       4.148625763970e-01       4.248797000725e+02 
       4.181362510861e-01       4.176976970566e+02 
       4.214099260722e-01       4.106875762413e+02 
       4.246836013486e-01       4.038742623414e+02 
       4.279572769084e-01       3.972720014202e+02 
       4.312309527453e-01       3.908847861136e+02 
       4.345046288528e-01       3.847091066195e+02 
       4.377783052251e-01       3.787376958020e+02 
       4.410519818560e-01       3.729623200859e+02 
       4.443256587399e-01       3.673716053663e+02 
       4.475993358712e-01       3.619511237272e+02 
       4.508730132446e-01       3.566792514856e+02 
       4.541466908546e-01       3.515324737391e+02 
       4.574203686964e-01       3.464874500736e+02 
       4.606940467648e-01       3.415199253813e+02 
       4.639677250551e-01       3.366155169332e+02 
       4.672414035626e-01       3.317666329859e+02 
       4.705150822827e-01       3.269722648055e+02 
       4.737887612111e-01       3.222351501232e+02 
       4.770624403433e-01       3.175580663519e+02 
       4.803361196754e-01       3.129457570670e+02 
       4.836097992030e-01       3.084028990889e+02 
       4.868834789225e-01       3.039351337471e+02 
       4.901571588297e-01       2.995511758143e+02 
       4.934308389211e-01       2.952615177768e+02 
       4.967045191929e-01       2.910753112282e+02 
       4.999781996416e-01       2.869989763093e+02 
